meetnet;protocol;visit_id;task_id;bezoekvariabele;waarde;eenheid
Argusvlinder;vlinders transecten;89;777;temperatuur;19.0;graden celcius
Argusvlinder;vlinders transecten;89;777;bewolking;zonnig, doch schaduw van rookpluim kerncentrale;
Argusvlinder;vlinders transecten;89;777;windkracht;3;beaufort
Argusvlinder;vlinders transecten;90;1079;temperatuur;20.0;graden celcius
Argusvlinder;vlinders transecten;90;1079;windkracht;1;beaufort
Argusvlinder;vlinders transecten;90;1079;bewolking;Wolkensluier met brede opklaringen;
Argusvlinder;vlinders transecten;96;420;windkracht;2;beaufort
Argusvlinder;vlinders transecten;96;420;temperatuur;16.0;graden celcius
Argusvlinder;vlinders transecten;96;420;bewolking;;
Argusvlinder;vlinders transecten;97;750;windkracht;2;beaufort
Argusvlinder;vlinders transecten;97;750;bewolking;yes;
Argusvlinder;vlinders transecten;97;750;temperatuur;18.0;graden celcius
Argusvlinder;vlinders transecten;98;1080;bewolking;nee;
Argusvlinder;vlinders transecten;98;1080;windkracht;1;beaufort
Argusvlinder;vlinders transecten;98;1080;temperatuur;20.0;graden celcius
Argusvlinder;vlinders transecten;102;767;windkracht;3;beaufort
Argusvlinder;vlinders transecten;102;767;bewolking;40%;
Argusvlinder;vlinders transecten;102;767;temperatuur;24.0;graden celcius
Argusvlinder;vlinders transecten;109;444;bewolking;100;
Argusvlinder;vlinders transecten;109;444;windkracht;3;beaufort
Argusvlinder;vlinders transecten;109;444;temperatuur;17.0;graden celcius
Argusvlinder;vlinders transecten;114;104;bewolking;zeer licht bewolkt;
Argusvlinder;vlinders transecten;114;104;windkracht;weinig wind;beaufort
Argusvlinder;vlinders transecten;114;104;temperatuur;22.0;graden celcius
Argusvlinder;vlinders transecten;115;434;temperatuur;19.0;graden celcius
Argusvlinder;vlinders transecten;115;434;bewolking;lichte bewolking;
Argusvlinder;vlinders transecten;115;434;windkracht;beetje wind;beaufort
Argusvlinder;vlinders transecten;116;764;temperatuur;20.0;graden celcius
Argusvlinder;vlinders transecten;116;764;windkracht;0-1 zeer weinig;beaufort
Argusvlinder;vlinders transecten;116;764;bewolking;amper;
Argusvlinder;vlinders transecten;118;0;windkracht;2;beaufort
Argusvlinder;vlinders transecten;118;0;temperatuur;24.0;graden celcius
Argusvlinder;vlinders transecten;118;0;bewolking;80%;
Argusvlinder;vlinders transecten;157;1485;temperatuur;25.0;graden celcius
Argusvlinder;vlinders transecten;157;1485;bewolking;10;
Argusvlinder;vlinders transecten;157;1485;windkracht;3;beaufort
Argusvlinder;vlinders transecten;160;438;temperatuur;17.0;graden celcius
Argusvlinder;vlinders transecten;160;438;windkracht;3;beaufort
Argusvlinder;vlinders transecten;160;438;bewolking;100;
Argusvlinder;vlinders transecten;164;768;bewolking;0;
Argusvlinder;vlinders transecten;164;768;temperatuur;25.0;graden celcius
Argusvlinder;vlinders transecten;164;768;windkracht;4;beaufort
Argusvlinder;vlinders transecten;165;114;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;165;114;windkracht;;beaufort
Argusvlinder;vlinders transecten;165;114;bewolking;;
Argusvlinder;vlinders transecten;166;774;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;166;774;bewolking;;
Argusvlinder;vlinders transecten;166;774;windkracht;;beaufort
Argusvlinder;vlinders transecten;262;96;windkracht;2;beaufort
Argusvlinder;vlinders transecten;262;96;bewolking;Weinig;
Argusvlinder;vlinders transecten;262;96;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;263;426;bewolking;Weinig;
Argusvlinder;vlinders transecten;263;426;windkracht;3;beaufort
Argusvlinder;vlinders transecten;263;426;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;264;756;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;264;756;windkracht;3;beaufort
Argusvlinder;vlinders transecten;264;756;bewolking;Gemiddeld;
Argusvlinder;vlinders transecten;268;1799;temperatuur;24.0;graden celcius
Argusvlinder;vlinders transecten;268;1799;windkracht;2;beaufort
Argusvlinder;vlinders transecten;268;1799;bewolking;sluierbewolking;
Argusvlinder;vlinders transecten;269;2112;bewolking;;
Argusvlinder;vlinders transecten;269;2112;windkracht;;beaufort
Argusvlinder;vlinders transecten;269;2112;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;270;1805;bewolking;;
Argusvlinder;vlinders transecten;270;1805;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;270;1805;windkracht;;beaufort
Argusvlinder;vlinders transecten;272;1794;temperatuur;22.0;graden celcius
Argusvlinder;vlinders transecten;272;1794;bewolking;bewolkt, geen zon;
Argusvlinder;vlinders transecten;272;1794;windkracht;toch wel een behoorlijke wind;beaufort
Argusvlinder;vlinders transecten;280;1797;bewolking;0;
Argusvlinder;vlinders transecten;280;1797;windkracht;1;beaufort
Argusvlinder;vlinders transecten;280;1797;temperatuur;25.0;graden celcius
Argusvlinder;vlinders transecten;333;2108;temperatuur;20.0;graden celcius
Argusvlinder;vlinders transecten;333;2108;windkracht;1-2;beaufort
Argusvlinder;vlinders transecten;333;2108;bewolking;af en toe lichtbewolkt;
Argusvlinder;vlinders transecten;335;1802;temperatuur;26.0;graden celcius
Argusvlinder;vlinders transecten;335;1802;bewolking;zonnig en licht bewolkt;
Argusvlinder;vlinders transecten;335;1802;windkracht;2-3;beaufort
Argusvlinder;vlinders transecten;351;2121;temperatuur;21.0;graden celcius
Argusvlinder;vlinders transecten;351;2121;windkracht;3;beaufort
Argusvlinder;vlinders transecten;351;2121;bewolking;70%;
Argusvlinder;vlinders transecten;368;2111;windkracht;3;beaufort
Argusvlinder;vlinders transecten;368;2111;temperatuur;26.0;graden celcius
Argusvlinder;vlinders transecten;368;2111;bewolking;Licht bewolkt;
Argusvlinder;vlinders transecten;369;3101;bewolking;wolkensluier met opklaringen;
Argusvlinder;vlinders transecten;369;3101;temperatuur;23.0;graden celcius
Argusvlinder;vlinders transecten;369;3101;windkracht;4;beaufort
Argusvlinder;vlinders transecten;370;2441;temperatuur;21.0;graden celcius
Argusvlinder;vlinders transecten;370;2441;windkracht;3;beaufort
Argusvlinder;vlinders transecten;370;2441;bewolking;bewolkt met opklaringen;
Argusvlinder;vlinders transecten;406;2442;temperatuur;23.0;graden celcius
Argusvlinder;vlinders transecten;406;2442;windkracht;3;beaufort
Argusvlinder;vlinders transecten;406;2442;bewolking;1/4 bewolkt;
Argusvlinder;vlinders transecten;407;2135;bewolking;1/5 bewolkt 4/5 helder;
Argusvlinder;vlinders transecten;407;2135;windkracht;;beaufort
Argusvlinder;vlinders transecten;407;2135;temperatuur;23.0;graden celcius
Argusvlinder;vlinders transecten;415;2129;bewolking;1/4 tot 1/2;
Argusvlinder;vlinders transecten;415;2129;windkracht;2-3;beaufort
Argusvlinder;vlinders transecten;415;2129;temperatuur;20.0;graden celcius
Argusvlinder;vlinders transecten;416;2132;bewolking;1/2;
Argusvlinder;vlinders transecten;416;2132;windkracht;3;beaufort
Argusvlinder;vlinders transecten;416;2132;temperatuur;22.0;graden celcius
Argusvlinder;vlinders transecten;419;2127;bewolking;50 %;
Argusvlinder;vlinders transecten;419;2127;windkracht;3;beaufort
Argusvlinder;vlinders transecten;419;2127;temperatuur;20.0;graden celcius
Argusvlinder;vlinders transecten;424;1791;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;424;1791;bewolking;;
Argusvlinder;vlinders transecten;424;1791;windkracht;;beaufort
Argusvlinder;vlinders transecten;425;2789;temperatuur;23.0;graden celcius
Argusvlinder;vlinders transecten;425;2789;windkracht;3;beaufort
Argusvlinder;vlinders transecten;425;2789;bewolking;5/6 afnemend tot 4/6;
Argusvlinder;vlinders transecten;426;2792;temperatuur;24.0;graden celcius
Argusvlinder;vlinders transecten;426;2792;bewolking;4/6 afnemend tot 3/6;
Argusvlinder;vlinders transecten;426;2792;windkracht;3 afnemend tot 2;beaufort
Argusvlinder;vlinders transecten;429;3098;temperatuur;28.0;graden celcius
Argusvlinder;vlinders transecten;429;3098;bewolking;geen wolken;
Argusvlinder;vlinders transecten;429;3098;windkracht;2;beaufort
Argusvlinder;vlinders transecten;433;3102;bewolking;geen bewolking;
Argusvlinder;vlinders transecten;433;3102;temperatuur;24.0;graden celcius
Argusvlinder;vlinders transecten;433;3102;windkracht;4 a 5 (best veel wind);beaufort
Argusvlinder;vlinders transecten;434;2795;temperatuur;24.0;graden celcius
Argusvlinder;vlinders transecten;434;2795;windkracht;4  (best veel wind);beaufort
Argusvlinder;vlinders transecten;434;2795;bewolking;geen bewolking;
Argusvlinder;vlinders transecten;445;2124;temperatuur;20.0;graden celcius
Argusvlinder;vlinders transecten;445;2124;windkracht;veel wind;beaufort
Argusvlinder;vlinders transecten;445;2124;bewolking;hoge bewolking;
Argusvlinder;vlinders transecten;450;2438;bewolking;0;
Argusvlinder;vlinders transecten;450;2438;temperatuur;23.0;graden celcius
Argusvlinder;vlinders transecten;450;2438;windkracht;1;beaufort
Argusvlinder;vlinders transecten;451;2781;windkracht;2;beaufort
Argusvlinder;vlinders transecten;451;2781;bewolking;25%;
Argusvlinder;vlinders transecten;451;2781;temperatuur;24.0;graden celcius
Argusvlinder;vlinders transecten;479;1785;windkracht;1BF;beaufort
Argusvlinder;vlinders transecten;479;1785;temperatuur;30.0;graden celcius
Argusvlinder;vlinders transecten;479;1785;bewolking;Geen;
Argusvlinder;vlinders transecten;480;2115;bewolking;75%;
Argusvlinder;vlinders transecten;480;2115;windkracht;3-4;beaufort
Argusvlinder;vlinders transecten;480;2115;temperatuur;17.0;graden celcius
Argusvlinder;vlinders transecten;481;2775;temperatuur;24.0;graden celcius
Argusvlinder;vlinders transecten;481;2775;bewolking;0;
Argusvlinder;vlinders transecten;481;2775;windkracht;3;beaufort
Argusvlinder;vlinders transecten;491;2787;bewolking;0;
Argusvlinder;vlinders transecten;491;2787;windkracht;0;beaufort
Argusvlinder;vlinders transecten;491;2787;temperatuur;28.0;graden celcius
Argusvlinder;vlinders transecten;539;2133;bewolking;5 %;
Argusvlinder;vlinders transecten;539;2133;temperatuur;21.0;graden celcius
Argusvlinder;vlinders transecten;539;2133;windkracht;0;beaufort
Argusvlinder;vlinders transecten;545;1803;bewolking;0;
Argusvlinder;vlinders transecten;545;1803;temperatuur;27.0;graden celcius
Argusvlinder;vlinders transecten;545;1803;windkracht;0;beaufort
Argusvlinder;vlinders transecten;567;1806;temperatuur;20.0;graden celcius
Argusvlinder;vlinders transecten;567;1806;bewolking;licht bewolkt;
Argusvlinder;vlinders transecten;567;1806;windkracht;3-4;beaufort
Argusvlinder;vlinders transecten;568;2136;bewolking;helder;
Argusvlinder;vlinders transecten;568;2136;windkracht;3-4;beaufort
Argusvlinder;vlinders transecten;568;2136;temperatuur;28.0;graden celcius
Argusvlinder;vlinders transecten;569;2796;windkracht;3-4;beaufort
Argusvlinder;vlinders transecten;569;2796;temperatuur;30.0;graden celcius
Argusvlinder;vlinders transecten;569;2796;bewolking;helder - op het einde bewolkt;
Argusvlinder;vlinders transecten;571;0;temperatuur;23.0;graden celcius
Argusvlinder;vlinders transecten;571;0;bewolking;10%;
Argusvlinder;vlinders transecten;571;0;windkracht;2;beaufort
Argusvlinder;vlinders transecten;572;2793;windkracht;3;beaufort
Argusvlinder;vlinders transecten;572;2793;temperatuur;22.0;graden celcius
Argusvlinder;vlinders transecten;572;2793;bewolking;10;
Argusvlinder;vlinders transecten;650;435;temperatuur;23.0;graden celcius
Argusvlinder;vlinders transecten;650;435;windkracht;3;beaufort
Argusvlinder;vlinders transecten;650;435;bewolking;1/3;
Argusvlinder;vlinders transecten;651;0;bewolking;1/8 evoluerend naar 7/8;
Argusvlinder;vlinders transecten;651;0;temperatuur;20.0;graden celcius
Argusvlinder;vlinders transecten;651;0;windkracht;3/4 naar 4/5;beaufort
Argusvlinder;vlinders transecten;652;1795;bewolking;1/8;
Argusvlinder;vlinders transecten;652;1795;temperatuur;25.0;graden celcius
Argusvlinder;vlinders transecten;652;1795;windkracht;1/2 van zuid naar noord;beaufort
Argusvlinder;vlinders transecten;653;2785;temperatuur;26.0;graden celcius
Argusvlinder;vlinders transecten;653;2785;windkracht;1/2 tot 2/3;beaufort
Argusvlinder;vlinders transecten;653;2785;bewolking;geen bewolking.;
Argusvlinder;vlinders transecten;654;765;bewolking;geen bewolking.;
Argusvlinder;vlinders transecten;654;765;windkracht;1/2 van zuidoost naar noordwest;beaufort
Argusvlinder;vlinders transecten;654;765;temperatuur;23.0;graden celcius
Argusvlinder;vlinders transecten;655;2125;temperatuur;22.0;graden celcius
Argusvlinder;vlinders transecten;655;2125;bewolking;3/8 evoluerend naar 4/8;
Argusvlinder;vlinders transecten;655;2125;windkracht;1/2 evoluerend naar 4/5;beaufort
Argusvlinder;vlinders transecten;656;0;temperatuur;21.0;graden celcius
Argusvlinder;vlinders transecten;656;0;bewolking;1/4;
Argusvlinder;vlinders transecten;656;0;windkracht;2/3 tot 3/4 vanuit westelijke richting;beaufort
Argusvlinder;vlinders transecten;662;758;windkracht;;beaufort
Argusvlinder;vlinders transecten;662;758;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;662;758;bewolking;;
Argusvlinder;vlinders transecten;663;428;windkracht;;beaufort
Argusvlinder;vlinders transecten;663;428;bewolking;;
Argusvlinder;vlinders transecten;663;428;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;664;1787;windkracht;;beaufort
Argusvlinder;vlinders transecten;664;1787;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;664;1787;bewolking;;
Argusvlinder;vlinders transecten;665;2117;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;665;2117;windkracht;;beaufort
Argusvlinder;vlinders transecten;665;2117;bewolking;;
Argusvlinder;vlinders transecten;666;2777;bewolking;;
Argusvlinder;vlinders transecten;666;2777;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;666;2777;windkracht;;beaufort
Argusvlinder;vlinders transecten;668;445;windkracht;;beaufort
Argusvlinder;vlinders transecten;668;445;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;668;445;bewolking;;
Argusvlinder;vlinders transecten;669;775;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;669;775;bewolking;;
Argusvlinder;vlinders transecten;669;775;windkracht;;beaufort
Argusvlinder;vlinders transecten;670;1804;windkracht;;beaufort
Argusvlinder;vlinders transecten;670;1804;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;670;1804;bewolking;;
Argusvlinder;vlinders transecten;671;2134;bewolking;;
Argusvlinder;vlinders transecten;671;2134;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;671;2134;windkracht;;beaufort
Argusvlinder;vlinders transecten;672;2794;bewolking;;
Argusvlinder;vlinders transecten;672;2794;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;672;2794;windkracht;;beaufort
Argusvlinder;vlinders transecten;831;432;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;831;432;windkracht;;beaufort
Argusvlinder;vlinders transecten;831;432;bewolking;;
Argusvlinder;vlinders transecten;832;102;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;832;102;bewolking;;
Argusvlinder;vlinders transecten;832;102;windkracht;;beaufort
Argusvlinder;vlinders transecten;833;762;windkracht;;beaufort
Argusvlinder;vlinders transecten;833;762;bewolking;;
Argusvlinder;vlinders transecten;833;762;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;834;1792;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;834;1792;windkracht;;beaufort
Argusvlinder;vlinders transecten;834;1792;bewolking;;
Argusvlinder;vlinders transecten;835;2782;windkracht;;beaufort
Argusvlinder;vlinders transecten;835;2782;bewolking;;
Argusvlinder;vlinders transecten;835;2782;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;836;2122;bewolking;;
Argusvlinder;vlinders transecten;836;2122;windkracht;;beaufort
Argusvlinder;vlinders transecten;836;2122;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;839;101;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;839;101;bewolking;1/8;
Argusvlinder;vlinders transecten;839;101;windkracht;2 à 3 Bf;beaufort
Argusvlinder;vlinders transecten;840;431;bewolking;1/8;
Argusvlinder;vlinders transecten;840;431;windkracht;4;beaufort
Argusvlinder;vlinders transecten;840;431;temperatuur;19.0;graden celcius
Argusvlinder;vlinders transecten;841;761;windkracht;;beaufort
Argusvlinder;vlinders transecten;841;761;bewolking;;
Argusvlinder;vlinders transecten;841;761;temperatuur;17.0;graden celcius
Argusvlinder;vlinders transecten;842;2120;windkracht;3;beaufort
Argusvlinder;vlinders transecten;842;2120;bewolking;0;
Argusvlinder;vlinders transecten;842;2120;temperatuur;21.0;graden celcius
Argusvlinder;vlinders transecten;843;2780;bewolking;;
Argusvlinder;vlinders transecten;843;2780;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;843;2780;windkracht;;beaufort
Argusvlinder;vlinders transecten;846;1790;bewolking;;
Argusvlinder;vlinders transecten;846;1790;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;846;1790;windkracht;;beaufort
Bleekgeel blaasjeskruid;vaatplanten;508;1348;;;
Boomkikker;Padden en kikkers - Larven;232;1559;oppervlakte waterpartij;;
Boomkikker;Padden en kikkers - Larven;232;1559;maximale diepte;>1m;
Boomkikker;Padden en kikkers - Larven;232;1559;permanente waterkolom;FALSE;
Boomkikker;Padden en kikkers - Larven;232;1559;beschaduwing;<30%;
Boomkikker;Padden en kikkers - Larven;232;1559;pH (zuurtegraad);7;
Boomkikker;Padden en kikkers - Larven;232;1559;aanwezigheid vis;TRUE;
Boomkikker;Padden en kikkers - Larven;232;1559;Aantal keer geschept;10;
Boomkikker;Padden en kikkers - Larven;232;1559;waterkwaliteit;middelmatig (tussen slecht en goed);
Boomkikker;Padden en kikkers - Larven;233;1557;Aantal keer geschept;15;
Boomkikker;Padden en kikkers - Larven;233;1557;aanwezigheid vis;FALSE;
Boomkikker;Padden en kikkers - Larven;233;1557;waterkwaliteit;goed (helder water, typische oever en/of waterplanten, weinig verlanding, niet zichtbaar vervuild);
Boomkikker;Padden en kikkers - Larven;233;1557;permanente waterkolom;FALSE;
Boomkikker;Padden en kikkers - Larven;233;1557;maximale diepte;>1m;
Boomkikker;Padden en kikkers - Larven;233;1557;oppervlakte waterpartij;;
Boomkikker;Padden en kikkers - Larven;233;1557;pH (zuurtegraad);7;
Boomkikker;Padden en kikkers - Larven;233;1557;beschaduwing;<30%;
Boomkikker;Padden en kikkers - Larven;234;1558;beschaduwing;<30%;
Boomkikker;Padden en kikkers - Larven;234;1558;Aantal keer geschept;18;
Boomkikker;Padden en kikkers - Larven;234;1558;aanwezigheid vis;FALSE;
Boomkikker;Padden en kikkers - Larven;234;1558;waterkwaliteit;goed (helder water, typische oever en/of waterplanten, weinig verlanding, niet zichtbaar vervuild);
Boomkikker;Padden en kikkers - Larven;234;1558;permanente waterkolom;;
Boomkikker;Padden en kikkers - Larven;234;1558;pH (zuurtegraad);7;
Boomkikker;Padden en kikkers - Larven;234;1558;maximale diepte;>1m;
Boomkikker;Padden en kikkers - Larven;234;1558;oppervlakte waterpartij;;
Boomkikker;Padden en kikkers - Larven;235;1591;Aantal keer geschept;40;
Boomkikker;Padden en kikkers - Larven;235;1591;aanwezigheid vis;FALSE;
Boomkikker;Padden en kikkers - Larven;235;1591;beschaduwing;<30%;
Boomkikker;Padden en kikkers - Larven;235;1591;pH (zuurtegraad);6;
Boomkikker;Padden en kikkers - Larven;235;1591;oppervlakte waterpartij;;
Boomkikker;Padden en kikkers - Larven;235;1591;maximale diepte;>1m;
Boomkikker;Padden en kikkers - Larven;235;1591;permanente waterkolom;FALSE;
Boomkikker;Padden en kikkers - Larven;235;1591;waterkwaliteit;goed (helder water, typische oever en/of waterplanten, weinig verlanding, niet zichtbaar vervuild);
Boomkikker;Padden en kikkers - Larven;236;1592;oppervlakte waterpartij;50x80m ongeveer;
Boomkikker;Padden en kikkers - Larven;236;1592;pH (zuurtegraad);6;
Boomkikker;Padden en kikkers - Larven;236;1592;beschaduwing;<30%;
Boomkikker;Padden en kikkers - Larven;236;1592;aanwezigheid vis;FALSE;
Boomkikker;Padden en kikkers - Larven;236;1592;waterkwaliteit;middelmatig (tussen slecht en goed);
Boomkikker;Padden en kikkers - Larven;236;1592;Aantal keer geschept;20;
Boomkikker;Padden en kikkers - Larven;236;1592;maximale diepte;>1m;
Boomkikker;Padden en kikkers - Larven;236;1592;permanente waterkolom;TRUE;
Boomkikker;Padden en kikkers - Larven;237;1597;maximale diepte;>1m;
Boomkikker;Padden en kikkers - Larven;237;1597;permanente waterkolom;FALSE;
Boomkikker;Padden en kikkers - Larven;237;1597;oppervlakte waterpartij;;
Boomkikker;Padden en kikkers - Larven;237;1597;Aantal keer geschept;15;
Boomkikker;Padden en kikkers - Larven;237;1597;waterkwaliteit;goed (helder water, typische oever en/of waterplanten, weinig verlanding, niet zichtbaar vervuild);
Boomkikker;Padden en kikkers - Larven;237;1597;aanwezigheid vis;;
Boomkikker;Padden en kikkers - Larven;237;1597;beschaduwing;<30%;
Boomkikker;Padden en kikkers - Larven;237;1597;pH (zuurtegraad);6;
Boomkikker;Padden en kikkers - Larven;238;1596;beschaduwing;<30%;
Boomkikker;Padden en kikkers - Larven;238;1596;pH (zuurtegraad);6;
Boomkikker;Padden en kikkers - Larven;238;1596;maximale diepte;>1m;
Boomkikker;Padden en kikkers - Larven;238;1596;permanente waterkolom;FALSE;
Boomkikker;Padden en kikkers - Larven;238;1596;aanwezigheid vis;FALSE;
Boomkikker;Padden en kikkers - Larven;238;1596;waterkwaliteit;goed (helder water, typische oever en/of waterplanten, weinig verlanding, niet zichtbaar vervuild);
Boomkikker;Padden en kikkers - Larven;238;1596;Aantal keer geschept;30;
Boomkikker;Padden en kikkers - Larven;238;1596;oppervlakte waterpartij;20x50m ongeveer;
Boomkikker;Padden en kikkers - Larven;239;1569;permanente waterkolom;TRUE;
Boomkikker;Padden en kikkers - Larven;239;1569;maximale diepte;>1m;
Boomkikker;Padden en kikkers - Larven;239;1569;oppervlakte waterpartij;2 are;
Boomkikker;Padden en kikkers - Larven;239;1569;waterkwaliteit;goed (helder water, typische oever en/of waterplanten, weinig verlanding, niet zichtbaar vervuild);
Boomkikker;Padden en kikkers - Larven;239;1569;aanwezigheid vis;TRUE;
Boomkikker;Padden en kikkers - Larven;239;1569;beschaduwing;geen schaduw;
Boomkikker;Padden en kikkers - Larven;239;1569;pH (zuurtegraad);6 (tot 7);
Boomkikker;Padden en kikkers - Larven;239;1569;Aantal keer geschept;15;
Boomkikker;Padden en kikkers - Larven;240;1568;waterkwaliteit;goed (helder water, typische oever en/of waterplanten, weinig verlanding, niet zichtbaar vervuild);
Boomkikker;Padden en kikkers - Larven;240;1568;permanente waterkolom;TRUE;
Boomkikker;Padden en kikkers - Larven;240;1568;maximale diepte;>1m;
Boomkikker;Padden en kikkers - Larven;240;1568;oppervlakte waterpartij;2 are;
Boomkikker;Padden en kikkers - Larven;240;1568;Aantal keer geschept;15;
Boomkikker;Padden en kikkers - Larven;240;1568;aanwezigheid vis;TRUE;
Boomkikker;Padden en kikkers - Larven;240;1568;beschaduwing;geen schaduw;
Boomkikker;Padden en kikkers - Larven;240;1568;pH (zuurtegraad);6 (tot 7);
Boomkikker;Padden en kikkers - Larven;241;1566;permanente waterkolom;TRUE;
Boomkikker;Padden en kikkers - Larven;241;1566;pH (zuurtegraad);6 (tot 7);
Boomkikker;Padden en kikkers - Larven;241;1566;beschaduwing;geen schaduw;
Boomkikker;Padden en kikkers - Larven;241;1566;aanwezigheid vis;FALSE;
Boomkikker;Padden en kikkers - Larven;241;1566;waterkwaliteit;goed (helder water, typische oever en/of waterplanten, weinig verlanding, niet zichtbaar vervuild);
